impl,N,threads,processes,duration
omp,1,1,1,0.002126
omp,1,2,1,0.001967
omp,1,3,1,0.003200
omp,1,4,1,0.002509
omp,1,5,1,0.002200
omp,1,6,1,0.003749
omp,1,7,1,0.002499
omp,1,8,1,0.003079
omp,1,9,1,0.003053
omp,1,10,1,0.002602
omp,1,11,1,0.002934
omp,1,12,1,0.003432
omp,1,13,1,0.004335
omp,1,14,1,0.002865
omp,1,15,1,0.003785
omp,1,16,1,0.003339
omp,10,1,1,0.004630
omp,10,2,1,0.003018
omp,10,3,1,0.002270
omp,10,4,1,0.002226
omp,10,5,1,0.002327
omp,10,6,1,0.002299
omp,10,7,1,0.002292
omp,10,8,1,0.003004
omp,10,9,1,0.002970
omp,10,10,1,0.002223
omp,10,11,1,0.002377
omp,10,12,1,0.002534
omp,10,13,1,0.002734
omp,10,14,1,0.002650
omp,10,15,1,0.002686
omp,10,16,1,0.003708
omp,100,1,1,0.006703
omp,100,2,1,0.005032
omp,100,3,1,0.004046
omp,100,4,1,0.003585
omp,100,5,1,0.003849
omp,100,6,1,0.003231
omp,100,7,1,0.003191
omp,100,8,1,0.003412
omp,100,9,1,0.003113
omp,100,10,1,0.003574
omp,100,11,1,0.003170
omp,100,12,1,0.003023
omp,100,13,1,0.003522
omp,100,14,1,0.003602
omp,100,15,1,0.003291
omp,100,16,1,0.003298
omp,1000,1,1,0.027983
omp,1000,2,1,0.018904
omp,1000,3,1,0.016271
omp,1000,4,1,0.013686
omp,1000,5,1,0.012330
omp,1000,6,1,0.013890
omp,1000,7,1,0.012809
omp,1000,8,1,0.012527
omp,1000,9,1,0.012595
omp,1000,10,1,0.012446
omp,1000,11,1,0.013859
omp,1000,12,1,0.013427
omp,1000,13,1,0.012943
omp,1000,14,1,0.011549
omp,1000,15,1,0.012156
omp,1000,16,1,0.015627
omp,10000,1,1,0.368470
omp,10000,2,1,0.146159
omp,10000,3,1,0.135381
omp,10000,4,1,0.136473
omp,10000,5,1,0.150581
omp,10000,6,1,0.140024
omp,10000,7,1,0.110191
omp,10000,8,1,0.134976
omp,10000,9,1,0.087708
omp,10000,10,1,0.134012
omp,10000,11,1,0.089033
omp,10000,12,1,0.078263
omp,10000,13,1,0.102148
omp,10000,14,1,0.079693
omp,10000,15,1,0.115872
omp,10000,16,1,0.075623
gpu,1,1,1,0.002572
gpu,10,1,1,0.002271
gpu,100,1,1,0.002647
gpu,1000,1,1,0.018688
gpu,10000,1,1,0.107123
mpi,1,1,1,0.002687
mpi,1,1,2,0.001926
mpi,1,1,3,0.002864
mpi,1,1,4,0.002131
mpi,1,1,5,0.002243
mpi,1,1,6,0.002168
mpi,1,1,7,0.002282
mpi,1,1,8,0.002360
mpi,1,1,9,0.002383
mpi,1,1,10,0.002302
mpi,1,1,11,0.002440
mpi,1,1,12,0.002440
mpi,1,1,13,0.002687
mpi,1,1,14,0.002689
mpi,1,1,15,0.002641
mpi,1,1,16,0.002531
